Class	Descriptions
Knight	Die Obsidiankämpfer sind äußerst widerstandsfähige Kämpfer, die auch zerstörerischer Magie mächtig sein können. Obsidiankämpfer starten mit der größten Auswahl an Waffen und Rüstungen, und können jede Waffe oder Rüstung benutzen. Obsidiankämpfer können der Feuer-, Erd- und Geistesmagie mächtig sein, aber nicht der Licht- oder Schattenmagie. Obsidiankämpfer können zum Obsidiankrieger aufsteigen (was ihnen je einen zusätzlichen Treffer- und Zauberpunkt pro Stufe einbringt), oder später zum Obsidianlord werden, (was ihnen je einen weiteren Treffer- und Zauberpunkt einbringt). Obsidiankämpfer können alle Sekundärfähigkeiten erlernen.
Cavalier	Der Obsidiankrieger ist die erste Beförderung des Obsidiankämpfers. Obsidiankrieger können jede Waffe und Rüstung benutzen, und sie sind der Feuermagie, Erdmagie und Geistesmagie mächtig. Obsidiankrieger verfügen über einen weiteren Treffer- und Zauberpunkt pro Level, und können weiter zum Obsidianlord befördert werden, was einen weiteren Treffer- und Zauberpunkt pro Level einbringt.
Champion	Die Klasse der Obsidianlords stellt die zweite und letzte Beförderung für Obsidiankämpfer dar. Obsidianlords können jede Waffe und Rüstung benutzen, und sie sind der Feuermagie, Erdmagie und Geistesmagie mächtig. Obsidianlords kommen in den Genuß von zwei zusätzlichen Treffer- und Zauberpunkten pro Level.
Cleric	"Die Kleriker in Might and Magic VI sind Abenteurer; zaubernde, heilige Menschen. Ein Kleriker ist ein mittelmäßiger Kämpfer, aber ein exzellenter Zauberer, dessen Stärken bei der Heilung und Verteidigung liegen. Kleriker und Hexer sind die einzigen Klassen, die die Magie der gespiegelten Wege von Licht und Schatten lernen können, und damit die furchtbaren Zaubersprüche, die diese Magieschulen anzubieten haben. Unglücklicherweise sind sie in der Wahl ihrer Waffen eingeschränkt und können nur mit Keule und Stab umgehen. Besser sieht es mit der Rüstung aus, nur der Panzer bleibt ihnen vorenthalten. Außerdem sind sie in der Wahl der Sekundärfähigkeiten nicht limitiert. Mit viel Fleiß und Studium können Kleriker zu Priestern werden (was je einen Trefferpunkt und Zauberpunkt pro Level einbringt) und später vielleicht zu Hohepriestern (was je einen weiteren Trefferpunkt und Zauberpunkt pro Level einbringt)."
Priest	Die erste Beförderung des Klerikers ist die zum Priester. Priester können die Zaubersprüche der Schulen des Geistes, des Körpers, des Spirituellen, des Lichts und des Schattens lernen. Allerdings sind sie in der Wahl der Waffen eingeschränkt. Keule und Stab sind die einzigen Waffen, die sie beherrschen können. Bei den Rüstungen bleibt ihnen nur die Panzerrüstung verwehrt, außerdem sind sie in der Wahl der Sekundärfähigkeiten nicht limitiert. Sie verfügen über je einen zusätzlichen Treffer- und Zauberpunkt pro Level, und können weiter zum Hohepriester befördert werden.
High Priest	Der Hohepriester ist die zweite und letzte Beförderung des Klerikers. Hohepriester können Zaubersprüche der Schulen des Körpers, des Geistes, des Spirituellen, des Lichts und des Schattens lernen.  Allerdings sind sie in der Wahl der Waffen eingeschränkt. Keule und Stab sind die einzigen Waffen, die sie beherrschen können. Bei den Rüstungen bleibt ihnen nur die Panzerrüstung verwehrt, außerdem sind sie in der Wahl der Sekundärfähigkeiten nicht limitiert. Hohepriester kommen in den Genuß von je zwei zusätzlichen Treffer- und Zauberpunkten pro Level.
Sorcerer	Als Studenten der Schule der Elementmagie konzentrieren sich die Hexer auf offensive und nützliche Magie. Hexer sind erbärmlich schlechte Kämpfer, kaum in der Lage mit einem Dolch oder Stab umzugehen. Sie dürfen keine Schilde oder Rüstungen tragen und haben die wenigsten Trefferpunkte aller Klassen. Abgesehen davon können Hexer kraftvolle, offensive Zaubersprüche aussprechen und haben Zugang zu der Magie der gespiegelten Wege von Licht und Schatten, woraus die mächtigsten Zaubersprüche in diesem Spiel stammen. Mit viel Zaubererfahrung können Hexer zu Hexenmeistern berufen werden (was ihnen je einen zusätzlichen Trefferpunkt und Zauberpunkt pro Level einbringt), später zum Erzmagier (was je einen weiteren Trefferpunkt und Zauberpunkt einbringt). Dem Hexer ist keine Sekundärfähigkeit verboten.
Wizard	Die erste Beförderung des Hexers ist die zum Hexenmeister. Hexenmeister sind erbärmlich schlechte Kämpfer, kaum in der Lage, einen Dolch oder Stab zu bedienen. Außer Leder können sie keine Rüstungen tragen und keine Schilde, außerdem haben sie die wenigsten Trefferpunkte aller Klassen. Abgesehen davon können sie die Elementmagie und die Magie von Licht und Schatten erlernen. Hexenmeister verfügen über je einen zusätzlichen Treffer- und Zauberpunkt pro Level, und können zum Erzmagier befördert werden, was je einen weiteren, zusätzlichen Treffer- und Zauberpunkt einbringt.
Arch Mage	Der Erzmagier ist die zweite und letzte Beförderung des Hexers. Erzmagier sind erbärmlich schlechte Kämpfer, kaum in der Lage, einen Dolch oder Stab zu bedienen. Außer Leder können sie keine Rüstungen tragen und keine Schilde, außerdem haben sie die wenigsten Trefferpunkte aller Klassen. Abgesehen davon können sie die Elementmagie und die Magie von Licht und Schatten erlernen. Erzmagier kommen in den Genuß von je zwei zusätzlichen Treffer- und Zauberpunkten pro Level.
Paladin	Als Kreuzung zwischen Ritter und Kleriker können Paladine beide Rollen gut ausfüllen, aber natürlich nicht so gut, wie ein echter Ritter oder Kleriker. Wie die Ritter können die Paladine lernen, mit allen Waffen und Rüstungen umzugehen, obwohl sie am Anfang nicht so viele Auswahlmöglichkeiten haben. Paladine beginnen mit der spirituellen Magie und können auch die klerikale Geistes- und Köpermagie lernen. Allerdings können sie weder die Elementmagie noch die Magie von Licht und Schatten erlernen. Paladine, die ihrer Aufgabe treu bleiben, können zum Kreuzritter befördert werden (was ihnen je einen zusätzlichen Trefferpunkt und einen Zauberpunkt pro Stufe einbringt) , und später zum Helden (was je einen weiteren Treffer- und Zauberpunkt einbringt). Paladine können alle Sekundärfähigkeiten erlernen.
Crusader	Der Kreuzritter ist die erste Beförderung des Paladins. Kreuzritter können den Umgang mit jeder Waffe und Rüstung erlernen, und sie können die klerikale Magie des Körpers, des Geistes und des Spirituellen lernen. Kreuzritter verfügen über je einen zusätzlichen Treffer- und Zauberpunkt pro Level, und können weiter zu Helden befördert werden, was ihnen je einen weiteren, zusätzlichen Treffer- und Zauberpunkt pro Level einbringt.
Hero	Der Held ist die zweite und letzte Beförderung des Paladins. Helden können den Umgang mit jeder Waffe und Rüstung erlernen, und sie können die klerikale Magie des Körpers, des Geistes und des Spirituellen lernen. Helden kommen in den Genuß von je zwei zusätzlichen Treffer- und Zauberpunkten pro Level.
