Global Text	

0	Rüst
1	Geschick
2	Zu Attr addieren
3	Abenteurer
4	ängstlich
5	Alter
6	Luft
7	Alchemist
8	Obeliskennotizen
9	Gratulation!
10	Stadtportal
11	Rüstung
12	Rüstungsklasse
13	Rüstungsschmied
14	schläft
15	Assertion failed at %d in %s
16	Autosave
17	Erf.
18	Angriff
19	Verfügbar
20	Verfügbare Fähigkeiten
21	Auszeichnung
22	Auszeichnungen
23	Auszeichnungen für
24	Rückwärts
25	Kontostand
26	Bank
27	Betteln
28	Waffenschmied
29	Körper
30	Bonus
31	Bestechung
32	Kaputter Gegenstand
33	Kaufen
34	Abbrechen
35	Stadtportal nach %s
36	%s kann so nicht benutzt werden
37	Zeit zur Rettung Enroths:
38	Zauberspruch aussprechen
39	Ziel auswählen
40	Vorbereiteten Zauberspruch aussprechen
41	Klasse
42	Angestellter
43	Kälte
44	Kampf
45	Zustd.
46	verwirrt
47	Zustand
48	Steuerung
49	Umkehrung
50	Kriechend
51	GRUPPE ERSTELLEN
52	verflucht
53	Schaden
54	Schatten
55	Morgenrot
56	Tag
57	Tage
58	Tot
59	Interner Fehler
60	Einzahlen
61	Drücke Escape
62	Might and Magic VI benötigt zur Fensterdarstellung eine Desktop-Farbtiefe von 16Bit (32k oder 65k).
63	Might and Magic VI kann einige Dateien nicht laden. Das Problem muß mit einer Neuinstallation behoben werden. Hinweis: Gespeicherte Spielstände bleiben dabei erhalten.
64	Detailansicht
65	krank
66	Schad
67	%s hat diese Fähigkeit nicht
68	Spenden
69	besoffen
70	Erde
71	Elektrizität
72	Leer
73	Betreten
74	Gespräch beenden
75	Ausdauer
76	ausgerottet
77	Flüchten
78	Kalender
79	Verlassen
80	Gebäude verlassen
81	Ruhe beenden
82	Bist Du sicher? Zum Beenden noch einmal klicken
83	Erfahrung
84	Ruhm
85	Tranknotizen
86	Gepäck für %d Tage gegen %d Gold füllen
87	Feuer
88	Nahrung
89	für
90	Vorwärts
91	Freitag
92	Voll
93	Spieloptionen
94	Deine Punkte: %lu
95	Edelsteine
96	Holen
97	Gold
98	OK
99	Grafik
100	Wache
101	Gildenmeister
102	Halb
103	Hafenmeister
104	Heilen
105	Heiler
106	Geheilt
107	TP
108	Trefferpunkte
109	Stunde
110	Stunden
111	Wieviele Stunden?
112	Wieviel?
113	Erkennen
114	Gastwirt
115	Lehrer
116	Intellekt
117	irrsinnig
118	Wir hoffen, daß Du beim Spielen von Might and Magic VI so viel Spaß hattest, wie wir bei seiner Entwicklung hatten. Dieses Bild wurde als MM6_WIN.PCX in Deinem MM6-Verzeichnis abgespeichert. Du kannst es als Beweis Deines Könnens ausdrucken. Heroes III und Might and Magic VII kommen bald...
119	Gegenstände
120	Inventory
121	Permanent
122	Anschließen
123	Verschiedene Notizen
124	Springen
125	 +2 Fähigkeitspunkte!
126	%s verlassen?
127	König
128	Es dauert %d Tage, nach %s zu reisen.
129	%s der Level %u %s
130	Links
131	Level
132	Jahre
133	Licht
134	%s trifft %s für %lu Punkte
135	Lade
136	Glück
137	Quellennotizen
138	Magie
139	Karten
140	Dein Gepäck ist bereits voll!
141	Sehernotizen
142	Geist
143	Verschiedene
144	Stärke
145	Montag
146	Monat
147	Du bist geeignet, auf Level %u aufzusteigen.
148	Monate
149	Name
150	Neu
151	Glückwunsch, Abenteurer.
152	Nein
153	Keine
154	Notizen
155	Du hast nicht genug Gold
156	Bleibe in diesem Gebiet
157	© 1991 - 1998 The 3DO Company. All Rights Reserved. New World Computing, the New World Computing logo, Might and Magic, and the Might and Magic logo are trademarks and/or registered trademarks of The 3DO Company. All other trademarks belong to their respective owners. New World Computing is a division of The 3DO Company.
158	Schmugglerbucht Ost
159	Öffnen
160	Orakel
161	über
162	gelähmt
163	Charisma
164	%s trifft %s für %lu Schaden
165	Bitte warten
166	Vergiftung
167	 - Das Might and Magic VI Entwicklungsteam
168	Punkte
169	Dreiviertel
170	QZaub
171	Viertel
172	Quick-Zauber
173	Übersicht
174	Suchaufträge
175	%s fügt %lu Punkte zu und tötet %s
176	Might and Magic VI hat einen internen Fehler festgestellt und muß geschlossen werden. Soll Dein Spiel vorher gespeichert werden?
177	Erholt sich
178	Zimmer für %d Gold mieten
179	Reparieren
180	Ruf
181	Resistenzen
182	Ruhen
183	8 Std. ruhen & heilen
184	Neuinstallation erforderlich
185	Rechts
186	Laufen
187	Schütze
188	Samstag
