Regional News			
#	Map	Topic	News Text
1	40	Goblinwacht	Ich habe gehört, daß diese verlassene Festung auf dem Hügel nun von einer Horde Goblins bewohnt wird. Wie konnte das passieren, die Festung wurde doch gebaut, um die Goblins fernzuhalten.
2	40	Tempel von Baa	Eine Tagesreise westlich ist der neue Tempel von Baa. Ich habe gehört, daß reichen Leuten, die dort vorbeikommen, schlimme Sachen passieren sollen.
3	40	Banditen	Die Pässe durch die Hügel im Westen werden von Banditen heimgesucht, dort zu Fuß zu reisen kann sehr gefährlich werden.
4	40	Seereise	Seereisen können hier sehr gefährlich werden, wegen der Seeschlangen und Wasserwesen, die auf dem Meer umherstreifen.
5	40	Orakel	Der hohe Rat in Free Haven sollte wirklich das Orakel konsultieren, um herauszufinden warum die Ironfists das Mandat des Himmels verloren haben.
6	40	Prinz Nicolai	Prinz Nicolai ist nicht länger verantwortlich - Regent Humphrey fällt alle Entscheidungen. Es ist nicht fair, Nicolai die Schuld für alle Probleme in die Schuhe zu schieben.
7	40	Sonnwende	Die beiden Sonnwenden sind Tage von erheblicher magischer Bedeutung. Die Sommersonnwende ist am 21. Juni, die Wintersonnwende ist am 21. Dezember.
8	40	Arena	Die Ställe in Burg Ironfist können Dich zur Arena bringen, jenem antiken Ort, wo die Krieger ihre Tapferkeit testen können.
9	40	Goblins	Goblins sind schwache Kreaturen, aber sie tendieren dazu, in großen Mengen anzugreifen.
10	40	Magierlehrling	Obwohl ihre physischen Angriffe eher schwach sind, können diese Magier verschiedene elementare Angriffszaubersprüche aussprechen.
11	40	Mordred	Der Dolch Mordred ist ein mächtiges Artefakt, daß über die Fähigkeit verfügt, seinen Opfern Kraft zu entziehen, um sie an seinen Träger weiterzuleiten.
12	40	Hexenmeister	Albert Newton in Mist beschäftigt sich mit der Beförderung vom Hexer zum Hexenmeister.
13	40	Verlassener Tempel	Der verlassene Tempel im Nordwesten wurde gewöhnlich von Anhängern von Baa benutzt, aber die haben den Tempel im letzten Jahr fluchtartig verlassen. Jetzt gibt es dort nichts außer Schlangen, Fledermäusen und großen Spinnen.
14	40	Tempel von Baa	Seit der Kult von Baa aus dem alten Tempel außerhalb der Stadt ausgezogen ist, sind all unsere kleinen Probleme, die wir hatten, .... weg. Ich sage Dir, da stimmt etwas nicht mit diesen Leuten. Ich bin froh, daß sie weg sind.
15	40	Flüche	Ein Freund von mir, ein Zauberer, erzählte mir, daß der Kult von Baa von dem verlassenen Tempel aus Flüche über unsere Stadt verhängt hat. Eines Tages haben sie versucht, den Fluch des unendlichen Ungeziefers über uns auszusprechen, aber etwas lief schief, und der Fluch traf den eigenen Tempel. Sie haben sich sehr schnell zurückgezogen, nachdem das passiert war.
16	40	Schatz	Ich habe gehört, daß der Kult von Baa den alten Tempel fluchtartig verlassen hat, so daß sie nicht genug Zeit hatten, all ihre Sachen mitzunehmen. Es sollte noch viel da unten sein, also, wenn Du tapfer genug bist danach zu suchen... Es gibt eine Menge lästiger Monster dort, also sei vorsichtig wenn Du gehst.
17	40	Goblinwacht	Es ist schon eine Weile her seit Goblins Neu Sorpigal ausgeraubt haben, aber seit Goblins in der Festung leben, die sie eigentlich fernhalten sollte, kann es nicht mehr lange dauern bis sie uns erneut angreifen, oder?
18	40	Magier	Eine böse Gilde von Magiern durchsucht das Südöstliche Ende unserer Halbinsel nach Spuren der legendären magischen Quelle. Sie greifen jeden an, der ihnen zu nahe kommt, um mögliche Rivalen abzuschrecken. Sei sehr vorsichtig, wenn Du in diese Richtung reist.
19	40	Stadtbrunnen	Die drei Brunnen hier in der Stadt sollen ihr Wasser von einer Quelle beziehen, die von den Göttern berührt wurde. Jeder ist magisch und auf seine eigene Weise nützlich, wenn Du daraus trinkst.
20	40	Goblin Räuber	Eine räuberische Gruppe von Goblins hat die Westbrücke besetzt, um Reisende auszurauben und zu töten. Sie sind nicht allzu clever - man kann sie aus einer Meile Entfernung sehen - aber sie sind trotzdem gefährlich. Paß auf!
