Text Number From NPC Events.Doc		Notes
#	Topic	
1	Der Brief	
2	Der Brief	
3	Goblinwacht	
4	Goblinwacht	
5	Böser Kult	
6	Böser Kult	
7	Böser Kult	
8	Der Heulende Mond	
9	Der Brief	
10	Lord Kilburn	
11	Lord Kilburn	
12	Der Hohe Rat	Need text for speaking with Wilbur Humphrey before talking to the traitor.
13	Kreuzritter	
14	Kreuzritter	
15	Helden	
16	Helden	
17	Helden	
18	Langeweile	
19	Der Zirkus	
20	Missing Text	
21	Entschuldigt, ihre Hoheit…	
22	Entschuldigt, ihre Hoheit…	
23	Missing Text	
24	Der Zirkus	
25	Onkel Archibald	
26	Das Dritte Auge	
27	Onkel Archibald	
28	Onkel Archibald	What should we do with the Archibald statue and the release method?
29	Leer	
30	Befreie Archibald	
31	Silberhelme	
32	Der Prinz der Diebe	
33	Der Prinz der Diebe	
34	Der Hohe Rat	
35	Priester	
36	Priester	
37	Hohepriester	
38	Hohepriester	
39	Hohepriester	
40	Erzmagier	
41	Pilgerfahrt	
42	Suchauftrag	
43	Suchauftrag	
44	Put Text Here	Shrine event
45	Ich habe es verloren	
46	Hinweis	
47	Gottes Eingriff	
48	Gottes Eingriff	
49	Gottes Eingriff	
50	Put Text Here	Shrine event
51	Suchauftrag des Rates	
52	Suchauftrag des Rates	
53	Put Text Here	Telepathy
54	Suchauftrag des Rates	
55	Hexenmeister	
56	Hexenmeister	
57	Put Text Here 57	Fountain event
58	Hexenmeister	
59	Erzmagier	
60	Erzmagier	
61	Suchauftrag des Rates	
62	Suchauftrag des Rates	
63	Put Text Here 63	Mini-dungeon event
64	Suchauftrag des Rates	
65	Obsidiankrieger	
66	Nomination	
67	Obsidiankrieger	
68	Obsidiankrieger	
69	Obsidiankrieger	
70	Obsidianlord	
71	Obsidianlord	
72	Obsidianlord	
73	Kristall von Terrax	
74	Speicherkristall	
75	Put Text Here	Memory Crystal event
76	Kontrollzentrum	
77	Kreeganer	
78	Altertum	
79	Geld
80	Geld
81	Geld
82	Großdruiden
83	Großdruiden
84	Erzdruiden
85	Erzdruiden
86	Erzdruiden
87	Winter
88	Winter
89	Winter
90	Winter
91	Kampfmagier
92	Kampfmagier
93	Kriegsmagier
94	Kriegsmagier
95	Winter
96	Winter
97	Winter
98	Meine Eroberung
99	Preise festsetzen
100	Kriegsmagier
101	Silvertongues Ablehnung
102	Silvertongues Heilung
103	Dienst an der Krone
104	Regeln
105	Preise
106	Instruktionen
107	Spiele das Spiel der Stärke für 50 Gold
108	Spiele das Spiel der Ausdauer für 50 Gold
109	Spiele das Reaktionsspiel für 50 Gold
110	Spiele das Geschicklich - keitsspiel für 50 Gold
111	Spiele Glücksspiel für 50 Gold
112	Spiele das Spiel des Intellekts für 50 Gold
113	Gongs
114	Knochen
115	Magnete
116	Harpyienfeder
117	Goldene Pyramiden
118	Weinfäßchen
119	Zähne
120	Vierblättriges Kleeblatt
121	Bernstein
122	Suchauftrag
123	Suchauftrag
124	Willkommen
125	Quelle der Jugend
126	Instruktionen
127	Instruktionen
128	Instruktionen
129	Tausche Pyramide gegen Rüstung
130	Tausche Pyramide gegen Waffe
131	Tausche Pyramide gegen Zubehör
132	Tausche Weinfaß gegen Rüstung
133	Tausche Weinfaß gegen Waffe
134	Tausche Weinfaß gegen Zubehör
135	Tausche Lampe gegen Edelsteine
136	Put Text Here
137	Put Text Here
138	Put Text Here
139	Put Text Here
140	Put Text Here
141	Put Text Here
142	Put Text Here
143	Put Text Here
144	Put Text Here
145	Put Text Here
146	Put Text Here
147	Put Text Here
148	Put Text Here
149	Put Text Here
150	Put Text Here
151	Put Text Here
152	Put Text Here
153	Put Text Here
154	Put Text Here
155	Put Text Here
156	Put Text Here
157	Put Text Here
158	Put Text Here
159	Put Text Here
160	Put Text Here
161	Put Text Here
162	Put Text Here
163	Put Text Here
164	Put Text Here
165	Put Text Here
166	Put Text Here
167	Put Text Here
168	Put Text Here
169	Put Text Here
170	Put Text Here
171	Put Text Here
172	Put Text Here
173	Put Text Here
174	Put Text Here
175	Put Text Here
176	Put Text Here
177	Put Text Here
178	Put Text Here
179	Put Text Here
180	Put Text Here
181	Put Text Here
182	Put Text Here
183	Put Text Here
184	Put Text Here
185	Put Text Here
186	Put Text Here
187	Put Text Here
188	Put Text Here
189	Put Text Here
190	Put Text Here
191	Put Text Here	
192	Put Text Here	
193	Put Text Here	
194	Put Text Here	
195	Put Text Here	
196	Put Text Here	
197	Put Text Here	
198	Put Text Here	
199	Put Text Here	
200	Experte am Stab	Expert staff training
201	Meister des Stabes	Master staff training
202	Experte des Schwertes	Expert sword training
203	Meister des Schwertes	Master sword training
204	Dolchexperte	Expert dagger training
205	Dolchmeister	Master dagger training
206	Experte der Axt	Expert Axe training
207	Meister der Axt	Master axe training
208	Experte des Speeres	Expert spear training
209	Meister des Speeres	Master spear training
210	Experte am Bogen	Expert bow training
211	Meister am Bogen	Master bow training
212	Keulenexperte	Expert mace training
213	Keulenmeister	Master mace training
214	Experte antiker Waffen	Expert blaster training
215	Meister der Lichtwand	Master Blasters
216	Experte am Schild	Expert shield training
217	Meister am Schild	Master shield training
218	Experte in der Lederrüstung	Expert leather training
219	Meister in der Lederrüstung	Master leather training
220	Experte in der Kettenrüstung	Expert chain armor training
221	Meister in der Kettenrüstung	Master chain armor training
222	Experte in der Panzerrüstung	Expert plate armor training
223	Meister in der Panzerrüstung	Master plate armor training
224	Experte der Feuermagie	Expert Fire magic training
225	Meister der Feuermagie	Master Fire magic training
226	Experte der Luftmagie	Expert Air magic training
227	Meister der Luftmagie	Master Air magic training
228	Experte der Wassermagie	Expert water magic training
229	Meister der Wassermagie	Master water magic training
230	Experte der Erdmagie	Expert earth magic training
231	Meister der Erdmagie	Master earth magic training
232	Experte der spirituellen Magie	Expert spirit magic training
233	Meister der spirituellen Magie	Master spirit magic training
234	Experte der Geistesmagie	Expert mind magic training
235	Meister der Geistesmagie	Master mind magic training
236	Experte der Körpermagie	Expert body magic training
237	Meister der Körpermagie	Master body magic training
238	Experte der Lichtmagie	Expert light magic training
239	Meister der Lichtmagie	Master light magic training
240	Experte der Schattenmagie	Expert dark magic training
241	Meister der Schattenmagie	Master dark magic training
242	Experte des Erkennens	Expert identify item training
243	Meister der Erkennens	Master identify item training
244	Experte des Handelns	Expert merchant training
245	Meister des Handelns	Master merchant training
246	Experte der Reparatur	Expert repair training
247	Meister der Reparatur	Master repair training
248	Experte der Kondition	Expert body building training
249	Meister der Kondition	Master body building training
250	Experte der Meditation	Expert meditation training
251	Meister der Meditation	Master meditation training
252	Experte des 6. Sinns	Expert perception training
253	Meister des 6. Sinns	Master perception training
254	Experte der Diplomatie	Expert diplomacy training
255	Meister der Diplomatie	Master diplomacy training
256	Experte im Entschärfen von Fallen	Expert disarm traps training
257	Meister im Entschärfen von Fallen	Master disarm traps training
258	Experte des Lernens	Expert learning training
259	Meister des Lernens	Master learning training
260	Jasper Rice	Location of Staff Master Teacher
261	Guy Hampton	Location of Sword Master Teacher
262	Jules Miles	Location of Dagger Master Teacher
263	Avinril Smythers	Location of Axe Master Teacher
264	Burton Rutherford	Location of Spear Master Teacher
265	Desmond Weller	Location of Bow Master Teacher
266	Errol Ostermann	Location of Mace Master Teacher
