	Knight	Cleric	Sorcerer	Paladin	Archer	Druid
Staff	a	C	C	a	a	C
Sword	C	-	-	C	C	-
Dagger	a	-	C	a	a	a
Axe	C	-	-	a	C	-
Spear	C	-	-	C	C	-
Bow	C	-	-	a	F	-
Mace	a	C	-	a	a	C
Blaster	a	a	a	a	a	a
Shield	C	C	-	C	-	C
Leather	a	F	F	a	F	F
Chain	F	a	-	F	a	-
Plate	a	-	-	a	-	-
Fire	-	-	C	-	C	a
Air	-	-	C	-	C	a
Water	-	-	C	-	C	C
Earth	-	-	C	-	C	C
Spirit	-	C	-	C	-	C
Mind	-	C	-	C	-	a
Body	-	C	-	C	-	C
Light	-	a	a	-	-	-
Dark	-	a	a	-	-	-
IdentifyItem	a	C	C	a	a	C
Merchant	C	a	a	a	a	a
Repair	C	C	C	a	a	a
Bodybuilding	F	a	a	a	a	a
Meditation	-	F	F	F	a	F
Perception	C	a	a	C	C	a
Diplomacy	a	C	C	C	a	a
Thievery	-	-	-	-	-	-
DisarmTraps	C	a	a	C	C	a
Learning	a	a	a	a	a	C
