Q Bit	Actual Quest Note Text	Notes	Old Quest Note Text
1		 1 D09, key to open D05	 D09, Schlüssel für D05
2		 2 D11, given for glass shard for staff of terrax quest	 D11, vergeben, für Glasscherbe beim Terrax-Suchauftrag
3		 3 D06, given when harp is recovered	 D06, vergeben, wenn Harfe wiederbeschafft wurde
4		 4 D10, given when you retreive artifact from chest	 D10, vergeben, wenn Du Artefakt aus der Kiste erhältst
5		 5 D18, questbit for getting hourglass	 D18, Suchgegenstand für Suche nach Sanduhr
6		 6 T3, given when you rescue prisoner	 T3, vergeben, wenn Du Gefangenen befreist
7		 7 T5, when you are promoted to archdruid	 T5, wenn Du zum Erzdruiden befördert wirst
8		 8 T7, given when you find the smoking gun	 T7, vergeben, wenn Du die rauchende Kanone findest
9		 9, CD2, given when you destroy Lich book	 CD2, vergeben, wenn Du das Buch der Liche zerstört hast
10		Tim	Kanal, fang den Prinz der Diebe
11		11 D7, opens tomb in D18.	D7, öffnet Grab in D18.
12		12 D3, given when you save Mom.	D3, vergeben, wenn Du Mom rettest.
13		13 D13, given when you save the damsel, Melody Silver, in D7.	D13, vergeben, wenn Du die holde Maid in D7 rettest.
14		14 D6, given when Message 504 given out.	D6, vergeben, wenn Nachricht 504 ausvergeben, wird.
15		15 D7, given when chest with evidence for Constable opened.	D7, vergeben, wenn die Kiste mit den Beweisen für den Wachtmeister geöffnet wird.
16		16 D17, given when party is turned into Werewolves.	D17, vergeben, wenn Gruppe zu Werwölfen wird.
17		17 D17, given when wolf altar is destroyed.	D17, vergeben, wenn Wolfaltar zerstört wurde.
18		18 D17, given when party buries torture victims.	D17, vergeben, wenn Gruppe Folteropfer begräbt.
19		19 D17, given when party buries more torture victims.	D17, vergeben, wenn Gruppe weitere Folteropfer begräbt.
20		20 D17, given when party digs up tiger statue quest item.	D17, vergeben, wenn Gruppe Suchgegenstand für Tigerstatuette ausgräbt.
21		21 T2, Given when evil crystal is destroyed	T2, vergeben, wenn böser Kristall zerstört wurde.
22		22 D05, Given to find Snergles axe	D05, vergeben, um Snergles Axt zu finden.
