Stats Descriptions	Description
Might	Stärke ist das Attribut, das die allgemeine Kraft eines Charakters repräsentiert, sowie die Fähigkeit, diese Kraft richtig einzusetzen. Charaktere mit großer Stärke richten größeren Schaden im Kampf an.
Intellect	Der Intellekt repräsentiert die Fähigkeit zur Vernunft und zum Verständnis komplexer und abstrakter Verhältnisse. Ein hoher Intellekt wirkt sich bei Hexern, Bogenschützen und Druiden auf die Zauberpunkte aus.
Personality	Das Charisma repräsentiert sowohl die Willensstärke als auch den Charme eines Charakters. Kleriker, Paladine und Druiden brauchen Charisma für ihre Zauberpunkte.
Endurance	Ausdauer ist das Maß der physischen Härte und Widerstandskraft eines Charakters. Hohe Ausdauer verleiht einem Charakter mehr Trefferpunkte.
Accuracy	Das Geschick repräsentiert die Präzision und Hand-Auge Koordination eines Charakters. Großes Geschick läßt einen Charakter im Kampf öfter und genauer treffen.
Speed	Die Reaktion ist das Maß dafür, wie schnell ein Charakter ist. Eine gute Reaktion erhöht die Rüstungsklasse des Charakters und senkt die Zeit, die benötigt wird, um sich von Attacken zu erholen.
Luck	Glück hat einen subtilen Einfluß auf das Spiel, aber am offensichtlichsten beeinflußt es die Fähigkeit, magischen Attacken zu widerstehen und nicht zuviel Schaden von Fallen zu nehmen.
Trefferpunkte	Die Trefferpunkte zeigen an, wieviel Schaden Dein Charakter nehmen kann, bevor er bewußtlos wird oder stirbt. Bei Null oder weniger Trefferpunkten verliert ein Charakter das Bewußtsein. Trefferpunkte werden nach 8 Stunden ununterbrochener Ruhe wieder hergestellt.
Rüstungsklasse	Die Rüstungsklasse ist ein Maß dafür, wie schwer es für einen Gegner ist, Dich zu treffen. Je höher die Rüstungsklasse, desto höher ist die Chance, einem Angriff auszuweichen.
Zauberpunkte	Zauberpunkte werden benötigt, um Zaubersprüche auszusprechen. Jeder Zauberspruch kostet eine bestimmte Menge von Zauberpunkten, die beim Aussprechen von der Gesamtzahl abgezogen werden. Zauberpunkte werden nach 8 Stunden ununterbrochener Ruhe wieder hergestellt.
Zustand	Der Zustand zeigt den schlimmsten Effekt, unter dem Dein Charakter leidet, wie zum Beispiel Vergiftung, Krankheit und Tod. Viele Zustände beeinträchtigen die Fähigkeit zu kämpfen, und es sollte schnellstmöglich Abhilfe geschafft werden.
Quick-Zauber	Der Quick-Zauber wird mit Drücken der Taste 'S' oder durch STRG-Linksklick auf ein Monster ausgesprochen. Wenn Du Dein Zauberbuch öffnest (Taste 'C'), kannst Du einen neuen Quick-Zauber festlegen, indem Du einen Zauberspruch auswählst und dann auf das Tab '...' klickst.
Alter	Das Alter zeigt das aktuelle Alter Deines Charakters an. Dabei steht die erste Zahl für das temporäre Alter und die zweite Zahl für das tatsächliche Alter. Einige Monster oder magische Effekte können Dein temporäres Alter über das tatsächliche Alter hinaus anheben.
Level	Der Level ist ein Maß für das Training, das Dein Charakter durchlaufen hat. Ein hoher Level erhöht die Treffer- und Zauberpunkte.
Erfahrung	Die Erfahrung ist ein Indikator für das allgemeine Verständnis, das Dein Charakter von der Welt hat. Mit ausreichend Erfahrung (und etwas Gold) kannst Du Deine Charaktere zum Training schicken, um ihren Level zu erhöhen und Fähigkeitspunkte zu sammeln, die in die Fähigkeiten investiert werden können.
Angriffsbonus	Der Angriffsbonus ist die Summe aller Faktoren (Fähigkeiten, Zaubersprüche, Geschick, etc.), die die Chance Deines Charakters beeinflussen, ein Monster mit der Waffe zu treffen.
Angriffsschaden	Der Angriffsschaden ist die Summe aller Faktoren (Stärke, Zaubersprüche, Waffenfähigkeit als Experte/Meister, etc.), die den Schaden beeinflussen, den Dein Charakter mit seiner Waffe anrichtet.
Schußbonus	Der Schußbonus ist die Summe aller Faktoren (Fähigkeit, Zaubersprüche, Geschick, etc.), die die Chance Deines Charakters beeinflussen, einen Gegner mit einem Schuß zu treffen.
Schußschaden	Der Schußschaden ist die Summe aller Faktoren (Zaubersprüche, Waffenboni, etc.),   die den Schaden beeinflussen, den Dein Charakter mit einem Schuß anrichtet.
Feuer	Feuerresistenz repräsentiert die Fähigkeit Deines Charakters, durch Feuer verursachte Schäden zu minimieren. Aber obwohl eine hohe Resistenz die Schäden durch Feuer drastisch reduzieren kann, macht sie Deinen Charakter nicht immun.
Elektrizität	Elektroresistenz repräsentiert die Fähigkeit Deines Charakters, durch Elektrizität verursachte Schäden zu minimieren. Aber obwohl eine hohe Resistenz die Schäden durch Elektrizität drastisch reduzieren kann, macht sie Deinen Charakter nicht immun.
Kälte	Kälteresistenz repräsentiert die Fähigkeit Deines Charakters, durch Kälte verursachte Schäden zu minimieren. Aber obwohl eine hohe Resistenz die Schäden durch Kälte drastisch reduzieren kann, macht sie Deinen Charakter nicht immun.
Gift	Giftresistenz repräsentiert die Fähigkeit Deines Charakters, durch Gift oder Säure verursachte Schäden zu minimieren. Aber obwohl eine hohe Resistenz die Schäden durch Gift drastisch reduzieren kann, macht sie Deinen Charakter nicht immun.
Magie	Magieresistenz repräsentiert die Fähigkeit Deines Charakters, durch Magie verursachte Schäden zu minimieren. Aber obwohl eine hohe Resistenz die Schäden durch Magie drastisch reduzieren kann, macht sie Deinen Charakter nicht immun.
Fähigkeitspunkte	Fähigkeitspunkte werden immer dann verliehen, wenn Dein Charakter zu einem neuen Level ausgebildet wird. Fähigkeitspunkte können jederzeit für die Verbesserung einzelner Fähigkeiten verwendet werden.
