	Knight	Cleric	Sorcerer	Paladin	Archer	Druid
Staff	a	C	C	a	a	C
Sword	C	-	-	C	C	-
Dagger	a	-	C	a	a	a
Axe	C	-	-	a	C	-
Spear	C	-	-	C	C	-
Bow	C	-	-	a	F	-
Mace	a	C	-	a	a	C
Blaster	a	a	a	a	a	a
Shield	C	C	-	C	-	a
Leather	a	C	F	C	F	C
Chain	F	a	-	F	a	-
Plate	a	-	-	a	-	-
Fire	-	-	C	-	C	a
Air	-	-	C	-	C	a
Water	-	-	C	-	a	C
Earth	-	-	C	-	a	F
Spirit	-	C	-	F	-	C
Mind	-	C	-	a	-	a
Body	-	F	-	C	-	C
Light	-	a	a	-	-	-
Dark	-	a	a	-	-	-
IdentifyItem	a	C	C	a	C	C
Merchant	C	a	a	a	a	a
Repair	C	C	C	a	a	C
Bodybuilding	F	a	a	a	a	a
Meditation	-	F	F	C	a	F
Perception	C	a	a	C	C	a
Diplomacy	a	C	C	C	C	a
Thievery	-	-	-	-	-	-
DisarmTraps	C	a	a	C	C	a
Learning	a	a	a	a	a	C
