Special Bonuses by Group																

Bonus Stat	Name Add	W1	W2	Miss	Arm	Shld	Helm	Belt	Cape	Gaunt	Boot	Ring	Amul	Value	Lvl	Description fo special Bonuses and values

 +10 auf alle Resistenzen.	des Schutzes	0	0	0	10	10	10	0	10	0	0	10	10	1000	B	(+10) on all four resistances
 +10 auf alle 7 Attribute.	der Götter	5	5	5	10	10	10	10	10	10	10	10	10	3000	D	(+10) on all 7 stats
Explosiver Einfluß!	des Blutbades	0	0	10	0	0	0	0	0	0	0	0	0	5000	D	projectile explodes (fireball radius,dmg=weapdmg)
Fügt 3-4 Punkte Kälteschaden hinzu.	der Kälte	20	20	20	0	0	0	0	0	0	0	0	0	500	A	(3-4) cold damage
Fügt 6-8 Punkte Kälteschaden hinzu.	des Frosts	20	20	20	0	0	0	0	0	0	0	0	0	1000	C	(6-8) cold damage
Fügt 9-12 Punkte Kälteschaden hinzu.	des Eises	20	20	20	0	0	0	0	0	0	0	0	0	2000	D	(9-12) cold damage
Fügt 2-5 Punkte Elektroschaden hinzu.	der Funken	20	20	20	0	0	0	0	0	0	0	0	0	500	A	(2-5) elec damage
Fügt 4-10 Punkte Elektroschaden hinzu.	des Blitzes	20	20	20	0	0	0	0	0	0	0	0	0	1000	C	(4-10) elec damage
Fügt 6-15 Punkte Elektroschaden hinzu.	des Donners	20	20	20	0	0	0	0	0	0	0	0	0	2000	D	(6-15) elec damage
Fügt 1-6 Punkte Feuerschaden hinzu.	des Feuers	20	20	20	0	0	0	0	0	0	0	0	0	500	A	(1-6) fire damage
Fügt 2-12 Punkte Feuerschaden hinzu.	der Flammen	20	20	20	0	0	0	0	0	0	0	0	0	1000	C	(2-12) fire damage
Fügt 3-18 Punkte Feuerschaden hinzu.	des Infernos	20	20	20	0	0	0	0	0	0	0	0	0	2000	D	(3-18) fire damage
Fügt 5 Punkte Giftschaden hinzu.	des Gifts	20	20	20	0	0	0	0	0	0	0	0	0	500	A	(5) pois damage
Fügt 8 Punkte Giftschaden hinzu.	des Gifts	20	20	20	0	0	0	0	0	0	0	0	0	1000	C	(8) pois damage
Fügt 12 Punkte Giftschaden hinzu.	der Säure	20	20	20	0	0	0	0	0	0	0	0	0	2000	D	(12) pois damage
Entzieht dem Ziel Trefferpunkte.	des Vampirs	5	5	5	0	0	0	0	0	0	0	0	0	X 2	D	Heal 20% of damage done on attack
Beschleunigt die Erholung.	der Erholung	10	10	10	20	0	20	10	0	0	20	10	10	200	B	(-10) pts on recovery from being hit
