															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
0															
1	lsword1	Langschwert	50	Weapon	Sword	3d3	0	8	1	Langschwert	1	4	499	8	Obwohl es einfach gemacht ist, ist dieses Langschwert trotzdem eine tödliche Waffe.
2	lsword2	Kriegsschwert	200	Weapon	Sword	3d3	3	8	3	Langschwert	1	4	501	9	Ein Langschwert von überlegener Stärke und Schärfe.
3	lsword3	Kreuzritter - Schwert	350	Weapon	Sword	3d3	6	8	5	Langschwert	1	4	506	10	Das Hammerschlagmuster auf der Klinge dieses Langschwerts zeugt von der hohen Handwerkskunst der Zwerge.
4	lsword4	Meisterschwert	500	Weapon	Sword	3d3	9	8	7	Langschwert	1	4	508	4	Diese Waffe, ein extrem hochqualitatives Langschwert, ist eine von nicht mehr als eintausend ihrer Art, die zwischen 780 und 800 vom Meisterwaffenschmied Mekorig dem Blinden geschmiedet wurden.
5	lsword5	Löwenherz - Schwert	650	Weapon	Sword	3d3	12	8	9	Langschwert	1	4	502	8	Eine sehr seltene, da antike Waffe. Dieses Langschwert wurde während der Zeit der Wunder geschmiedet. Das Verfahren, wie man Stahl dieser Qualität schmiedet, ist irgenwann kurz nach der Stille verschollen.
6	2hsword1	Beidhändiges Schwert	400	Weapon2	Sword	3d5	0	8	1	Beidhändiges Schwert	2	0	491	4	Ein einfaches beidhändiges Schwert. Tausende dieser Waffen niedriger Qualität können in ganz Enroth gefunden werden.
7	2hsword2	Großschwert	500	Weapon2	Sword	3d5	9	8	6	Beidhändiges Schwert	2	0	492	0	Ein weiteres einfaches, beidhändiges Schwert. Diese Barbarenwaffe protzt mit einer geschwungenen Klinge und einer zusätzlichen Kreuzstrebe. Ihre Konstruktion ist robust, und die Klinge ist scharf.  
8	2hsword3	Heldenschwert	800	Weapon2	Sword	3d5	18	8	8	Beidhändiges Schwert	2	0	502	2	Ein ungewöhnlich hochqualitatives beidhändiges Schwert. Diese Klinge ist sowohl stark als auch zuverlässig.
9	brsword1	Breitschwert	100	Weapon	Sword	3d4	0	8	1	Breitschwert	3	0	505	14	Ein weitverbreitetes Breitschwert. Diese Klingen können im ganzen Land gefunden werden, sei es in der Hand von Helden oder Verbrechern.
10	brsword2	Stahl - Breitschwert	300	Weapon	Sword	3d4	4	8	4	Breitschwert	3	0	503	16	Ein ausgezeichnetes Erathianisches Stahlbreitschwert von exzellenter Qualität und Schärfe.
11	brsword3	Mächtiges Breitschwert	600	Weapon	Sword	3d4	11	8	6	Breitschwert	3	0	503	1	Die Schärfe und Schönheit dieses Breitschwerts sind zauberhaft und zeitlos. Die Klinge sieht aus, als wäre sie erst gestern geschmiedet worden.
12	cutlass1	Säbel	40	Weapon	Sword	2d4	0	7	1	Säbel	4	0	504	5	Ein Säbel aus der Manufaktur der Goblins. Diese Waffe ist genauso tödlich, wie sie häßlich ist.
13	cutlass2	Piratensäbel	290	Weapon	Sword	2d4	5	7	3	Säbel	4	0	507	15	Die traditionelle Standardwaffe der Regna-Piraten, die auf den zahllosen Inseln östlich der Nebelinsel leben. Diese Säbel wurden von einer langen Ahnenreihe von dort wohnenden Schmieden hergestellt.
14	cutlass3	Meistersäbel	590	Weapon	Sword	2d4	13	7	5	Säbel	4	0	501	13	Klug verborgene Initialien neben dem Knauf dieses Säbels weisen diese schöne Waffe als das Werk von Alec Teling aus, Meisterschmied von Hareck IX, dem Lord von Regna und Herrscher über den Endlosen Ozean.
15	dagger1	Dolch	8	Weapon	Dagger	2d2	0	6	1	Dolch	5	2	504	81	Ein verbreiteter Dolch, beliebt bei Dieben und Attentätern auf der ganzen Welt.
16	dagger2	Blutdolch	100	Weapon	Dagger	2d2	2	6	2	Dolch	5	2	509	75	Blutdolche sind feierliche Waffen, die der Adel von Regna trägt. Ihre Popularität hat sich in den letzten Jahren auf den Adel von Enroth ausgebreitet, und nun können sie im ganzen Land gefunden werden. Sie sind scharf und zuverlässig.
17	dagger3	Schattendolch	150	Weapon	Dagger	2d2	3	6	3	Dolch	5	2	506	70	Von Ethric dem Verrückten noch als Mensch in Auftrag gegeben. Man sagt, daß diese Waffen eine Verbindung zum Land der Toten haben. Sie werden für bestimmte Zauberrituale zur widernatürlichen Verlängerung des Lebens gebraucht.
18	dagger4	Magierdolch	250	Weapon	Dagger	2d2	5	6	4	Dolch	5	2	511	82	Eine von weniger als hundert solcher Klingen. Magierdolche wurden von der Alchemistischen Allianz vor etwa 300 Jahren getragen und tief in der Burg Alamos geschmiedet. Es ist unmöglich, eine feinere Klinge als einen Magierdolch herzustellen.
19	dagger5	Juwelendolch	300	Weapon	Dagger	2d2	6	6	5	Dolch	5	2	504	79	Eine Waffe aus der Zeit der Wunder. Diese Klinge ist ein Extrem, sowohl in seinem Alter als auch in seiner Qualität.
20	ldagger1	Langdolch	15	Weapon	Dagger	2d3	0	7	1	Langdolch	6	0	505	42	Der gebräuchliche Langdolch. Angrenzend an ein Schwert ist dieser Langdolch beliebt bei Attentätern, die eine Waffe haben wollen, die einerseits versteckbar ist und andererseits eine längere Reichweite hat als der traditionelle Dolch.
21	ldagger2	Spitzdolch	200	Weapon	Dagger	2d3	4	7	3	Langdolch	6	0	506	48	Eher ein kurzes Schwert als ein Dolch. Die schmale Klinge täuscht über die ungewöhnliche Stärke und möglicherweise verzauberte Kante hinweg.
22	ldagger3	Gottesdolch	350	Weapon	Dagger	2d3	7	7	5	Langdolch	6	0	504	60	"Als eine ""Waffe der Götter"" war diese Waffe eine der letzten, die geschaffen wurden, bevor die großen Schmieden im Jahre 113 n. St. (nach der Stille) der Stille zum Opfer fielen."
23	axe1	Handaxt	30	Weapon	Axe	4d3	0	5	1	Axt	7	9	498	89	Eher ein Werkzeug als eine Waffe. Diese simple Axt funktioniert im Notfall auch, aber erwarte nich allzu viel.
