Skill	Description	Normal	Expert	Master
Staff	Der Stab ist eine zweihändige Waffe, gleich gut bei Angriff und Verteidigung. Expertenrang am Stab erhöht Deine Rüstungsklasse und der Meisterrang ermöglicht, ab und zu einen Gegner bewußtlos zu schlagen.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Chance für Bewußtlosigkeit gleich der Fähigkeit
Sword	Die Schwert-Fähigkeit deckt fast alle Klingen ab, die größer sind als ein Messer. Experten können schneller angreifen und mehr Schaden anrichten, während Meister jedes einhändige Schwert in der Linken führen können, wobei die rechte Hand für andere Waffen frei bleibt.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit reduziert Erholungszeit und wird zum Angriffsschaden addiert	Diese Fähigkeit erlaubt, ein Schwert in der linken Hand zu führen. Wird ein Schwert als einzige Waffe getragen, wird diese Fähigkeit zweifach zum Schaden addiert, ansonsten einfach
Dagger	Dolche richten nicht denselben Schaden an wie Schwerter oder Äxte, aber sie sind sehr schnell - manchmal wirst Du für jede Bewegung eines langsamen Gegners zwei Angriffe durchführen können. Experten können den Dolch in der linken Hand führen, und eine andere Waffe in der Rechten. Meister haben die Möglichkeit, den dreifachen Schaden zuzufügen.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit erlaubt, einen Dolch in der linken Hand zu führen	Chance für dreifachen Schaden gleich der Fähigkeit
Axe	Äxte sind sehr langsam im Kampf, aber wenn sie treffen richten sie großen Schaden an. Experten können etwas schneller angreifen und mehr Schaden anrichten. Meister richten sehr viel mehr Schaden an.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit reduziert Erholungszeit und wird zum Angriffsschaden addiert	Diese Fähigkeit wird zum Angriffsschaden addiert (dreifache Wirkung)
Spear	Unter einem Speer versteht man einen Stab mit einer Klinge an der Spitze. Speere sind vielseitig und können ein- oder zweihändig benutzt werden (besser sind zwei Hände). Experten am Speer erhalten eine höhere Rüstungsklasse und richten mehr Schaden an. Für Meister verdoppeln sich die Expertenboni.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse und zum Angriffsschaden addiert	Diese Fähigkeit wird zur Rüstungsklasse und zum Angriffsschaden addiert (doppelte Wirkung)
Bow	Die Bogen-Fähigkeit bezieht sich auf Bögen und Armbrüste. Experten verzeichnen einen Geschwindigkeitszuwachs während Meister mit jeder Attacke zwei Pfeile abfeuern können.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit reduziert Erholungszeit	Feuert bei jedem Angriff zwei Pfeile ab
Mace	Die Keulen-Fähigkeit deckt alle Arten von stumpfen Traumawaffen ab, vom Knüppel bis zum Dreschflegel. Experten kriegen einen Bonus auf die Rüstungsklasse, während Meister eine erhöhte Chance haben, den Gegner bewußtlos zu schlagen.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Chance für Bewußtlosigkeit gleich der Fähigkeit
Blaster	Eine Waffe aus der Zeit vor der großen Stille. Die Kunst ihrer Herstellung ist lange in Vergessenheit geraten. Experten und Meister erhalten die doppelte bzw. dreifache Treffergenauigkeit mit dieser Waffe.	Diese Fähigkeit wird zum Angriffsbonus addiert (doppelte Wirkung)	Diese Fähigkeit wird zum Angriffsbonus addiert (vierfache Wirkung)	Diese Fähigkeit wird zum Angriffsbonus addiert (sechsfache Wirkung)
Shield	Die Schild-Fähigkeit verstärkt direkt die Rüstungsklasse eines Charakters, solange er ein Schild benutzt. Experten und Meister erhalten einen Bonus für die Resistenzen.	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Diese Fähigkeit wird zu allen Resistenzen addiert (doppelte Wirkung). Erholungseinbuße reduziert	Diese Fähigkeit wird zu allen Resistenzen addiert (vierfache Wirkung). Erholungseinbuße eliminiert
Leather	Die Lederrüstung ist die leichteste Rüstung, die ein Charakter tragen kann. Während Leder weniger Schutz bietet als Ketten oder Panzer, verlangsamt es den Charakter auch nicht so sehr. Die Lederrüstungs-Fähigkeit verbessert den Schutz, den die Rüstung bietet. Wie bei allen Rüstungen reduzieren Experten- und Meisterrang den Wert, um den die Geschwindigkeit durch die Rüstung verringert wird.	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse addiert (vierfache Wirkung). Erholungseinbuße reduziert	Diese Fähigkeit wird zu allen Resistenzen addiert (doppelte Wirkung). Erholungseinbuße eliminiert
