															
															
#	Fire Spells		Res	Short Name	A	X	M	Spell Description	Normal	Expert	Master				
1	1	Fackellicht	none	Fackel	1	1	1	Fackellicht steigert den Radius des Lichts, den Deine Gruppe im Dunkeln um sich herum hat.	Dauert 1 Stunde pro Fähigkeitspunkt	Helleres Licht	Hellstes Licht				
2	2	Flammenpfeil	Fire	Flammpf	2	1	0	Feuert einen einzelnen flammenden Pfeil ab. Im Gegensatz zu den meisten anderen Zaubersprüchen ist dieser notorisch ungenau und hat die gleiche Trefferwahrscheinlichkeit wie ein normaler Pfeil (wenn Du Feuer-Fähigkeit als Bonus hast). Der Pfeil richtet 2 plus 1-2 Punkte Schaden pro Fähigkeitspunkt in Feuermagie an, wenn er trifft.	Aussprechen kostet 2 Zauberpunkte	Aussprechen kostet 1 Zauberpunkt. Schnellere Erholungsrate	Aussprechen kostet 0 Zauberpunkte. Schnellste Erholungsrate				
3	3	Schutz vor Feuer	none	SchtzFeu	3	3	3	Steigert die Resistenz all Deiner Charaktere gegen Feuer um den Betrag, der Deiner Feuermagie-Fähigkeit entspricht, und dauert eine Stunde pro Fähigkeitspunkt in Feuermagie.	10 Punkte Resistenz	20 Punkte Resistenz 	40 Punkte Resistenz				
4	4	Feuerstrahl	Fire	Feuerstrl	4	4	4	"Schießt einen Strahl aus Feuer auf ein einzelnes Ziel. Der Schaden ist 4 plus 1-4 Punkte pro Fähigkeitspunkt in Feuermagie, aber das Aussprechen kostet wenig. Feuerstrahl ist sicher und effektiv - Der ""Altbewährte"" im Arsenal des Hexers."	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
5	5	Eile	none	Eile	5	5	5	Reduziert die Zeit, in der man sich vom Aussprechen eines Zauberspruchs oder vom Angreifen mit einer Waffe erholt. Die Charaktere sind 6 Stunden lang geschwächt, nachdem der Spruch verbraucht ist.	Dauert 1 Stunde + 1 Minute pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe	Dauert 1 Stunde + 3 Minuten pro Fähigkeitspunkt				
6	6	Feuerball	Fire	Feuerball	8	8	8	Ein weiterer Favorit des Hexers. Der Feuerball zielt auf ein einzelnes Monster, explodiert und verletzt jeden, der in die Druckwelle gerät. Wenn Deine Gruppe zu nahe an der Druckwelle ist, werden die Mitglieder auch verletzt. Feuerball richtet 3 plus 1-3 Punkte Schaden pro Fähigkeitspunkt in Feuermagie an.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
7	7	Feuerring	Fire	Feuerring	10	10	10	Generiert um die Gruppe einen Ring aus Feuer, der allen Monstern schadet, die er berührt. Zum Glück ist Feuerring sicher und schadet Deinen eigenen Charakteren nicht. Feuerring richtet 2 Punkte Schaden an plus 1-2 pro Fähigkeitspunkt in Feuermagie.	Kleiner Wirkungsradius um Gruppe herum	Größerer Radius	Schnellere Erholungsrate				
8	8	Feuerwelle	Fire	Feuerwle	15	15	15	Schießt Blitze aus Feuer in die Richtung, in die die Charaktere schauen. Die Blitze treffen nur Monster, die ihnen im Weg stehen, so daß ein wenig Übung im Zielen dabei hilft, das Maximum aus Feuerwelle herauszuholen. Feuerwelle richtet 2 Punkte Schaden an plus 1-2 pro Fähigkeitspunkt in Feuermagie.	Langsame Erholungsrate und 3 Schüsse	Mittlere Erholungsrate und 5 Schüsse	Schnelle Erholungsrate und 7 Schüsse				
9	9	Meteorregen	Fire	Meteorrg	20	20	20	Beschwört brennende Felsbrocken aus dem Himmel herauf, die in einem großen Radius um Dein gewähltes Ziel niederregnen. Versuche Dich von Deinem Opfer fernzuhalten, wenn Du diesen Zauberspruch benutzt. Ein einzelner Meteor richtet 8 Punkte Schaden an plus einen pro Fähigkeitspunkt in Feuermagie.	Langsame Erholungsrate und 8 Meteore	Mittlere Erholungsrate und 12 Meteore	Schnelle Erholungsrate und 16 Meteore				
10	10	Inferno	Fire	Inferno	25	25	25	Inferno verbrennt alle Kreaturen in Sichtweite, bis auf Deine Charaktere. Gut, um leicht mit ein oder zwei Anwendungen Räume voller schwacher oder mittelstarker Monster zu räumen. Jedes Monster erhält 4 Schadenpunkte plus 1-4 pro Fähigkeitspunkt in Feuermagie. Dieser Zauberspruch funktioniert nur in geschlossenen Räumen.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
11	11	Verbrennen	Fire	Verbrenn	30	30	30	Verbrennen gehört zu den stärksten Zaubersprüchen, die direkt schaden und richtet massiven Schaden an einem einzelnen Ziel an. Nur die stärksten Monster haben eine Chance, diesen Zauberspruch zu überleben. Der Schaden ist 15 Punkte plus 1-15 pro Fähigkeitspunkt in Feuermagie.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
	Air Spells		Res					Spell Description							
12	1	Magisches Auge	none	MagAuge	1	1	1	Durch Magisches Auge zeigt die Automap in der oberen rechten Ecke des Hauptbildschirms die Positionen von Monstern und anderen interessanten Dingen an, während man sich im Freien befindet. Der Zauberspruch dauert 1 Stunde pro Fähigkeitspunkt in Luftmagie.	Zeigt nur Gelände und Monster	Zeigt Schätze	"Zeigt ""Punkte von Interesse"""				
13	2	Elektroschock	Elec	Eleksch	2	1	0	Zielt mit einem Blitz aus statischer Energie auf ein einzelnes Monster. Richtet 2 plus 1-2 Schadenspunkte pro Fähigkeitspunkt in Luftmagie an, und trifft immer.	Aussprechen kostet 2 Zauberpunkte	Aussprechen kostet 1 Zauberpunkt. Schnellere Erholungsrate	Aussprechen kostet 0 Zauberpunkte. Schnellste Erholungsrate				
